"Device name","OS version","Microsoft Entra device ID","Secure Boot enabled","Certificate status","Device model"
"W365-SJRZ5","10.0.26100.7781","97d523c3-4f8a-4cd3-a1c4-cd3d89450964","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"AP-59FIM","10.0.19045.4123","5456be1d-eb6a-49e4-85c0-9b4679389ea1","Yes","Not up to date","Latitude 5440"
"AP-VOZF7N","10.0.19045.4123","194e8a2e-9190-45b6-8f56-6228f4404f69","Yes","Up to date","HP ProBook 450 G9"
"W365-XA4CU7F9","10.0.26100.7781","5ab3149a-ab5d-47d1-b69a-4bf2c074db76","Yes","Up to date","Virtual Machine"
"AP-JFCMA","10.0.22621.5432","3684b3e9-1a88-4983-b7ed-8258654c79c0","Yes","Not up to date","Latitude 5540"
"W365-LFKU89T","10.0.22621.5432","6d4a956d-68c2-4f1e-8752-d136a833ae28","Yes","Up to date","Precision 5570"
"AP-N7EMPGX3","10.0.26100.7781","9da7b351-f888-4468-a74f-6e98edb8cf49","Yes","Not up to date","Surface Pro 9"
"AP-F4PCR2","10.0.26100.7462","a358ee25-286e-4344-a0a2-f7e7f3f8d3c1","Yes","Not up to date","Latitude 5440"
"AP-6QV0495","10.0.22621.5432","c0dbcf56-c91d-45a4-8c56-1a3f041eff00","Yes","Not up to date","Latitude 5540"
"W365-42NSM673","10.0.22621.5432","45942db7-a145-4449-a2de-d4aeff9a98f3","Yes","Not up to date","HP ProBook 450 G9"
"W365-IDEW2T","10.0.22631.6649","4e23c80c-742f-4ba3-96f1-b1bf90a34889","Yes","Not up to date","Latitude 5340"
"W365-VGCD02MO","10.0.19045.4123","74e57c0c-7fc5-4e4c-b791-236c6621748c","Yes","Not up to date","HP EliteBook 840 G9"
"AP-TUE4NOI","10.0.22631.6584","67f8154e-834c-4cd5-8753-f9dc9703ec7b","Yes","Up to date","Virtual Machine"
"AP-ZN9TLV","10.0.26100.7462","27e5b518-7dc8-4807-a235-dca4a3fc6d63","Yes","Not up to date","Latitude 5340"
"W365-NGULZY9","10.0.26100.7634","418d8923-8c0b-4b61-853b-e4c3e31dfd11","Yes","Up to date","HP ProBook 450 G9"
"AP-JF1G2A9","10.0.26100.7634","5157168c-4788-4c80-8757-b4a6e3083d5f","Yes","Up to date","Precision 5570"
"AP-7JASXUW","10.0.26100.7781","f8c631f6-5bc7-4d76-b7e2-3a20cb22bc06","Yes","Not up to date","OptiPlex 7090"
"AP-AOWFZ6E9","10.0.22631.6649","062a9d79-b7e0-4872-9a04-c1841440edda","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-3BIXZ","10.0.26100.7634","15cdfe4b-cea7-4a05-a1f0-3582e2ba8136","Yes","Up to date","Surface Pro 9"
"W365-FYNCB","10.0.19045.4123","82931347-933e-414c-86c9-2fff6b5140e5","No","Not applicable","Latitude 5540"
"W365-GU8IBEZR","10.0.19045.4123","5799c405-36b4-4390-be01-7da0989f9ea5","Yes","Up to date","Surface Pro 9"
"W365-1ULIGS8Y","10.0.26100.7634","f9e128ba-0a43-4c51-bb76-0588f6f36d92","Yes","Up to date","OptiPlex 7090"
"W365-4FGT0","10.0.22631.6649","8b623300-e876-4a6a-a452-b499e1a7d5a8","Yes","Not up to date","OptiPlex 7090"
"W365-IUJOXC","10.0.26100.7634","d07031f3-1b13-4f9e-91d1-1e70dec4a645","Yes","Up to date","HP EliteBook 840 G9"
"AP-0OKCPQR","10.0.26100.7781","0a4985d9-4f71-4c70-9b00-262175c848bb","Yes","Up to date","Virtual Machine"
"AP-Z4E96X","10.0.22631.6649","cd650655-2ac0-4740-a50d-1ead2691aa1a","Yes","Not up to date","HP EliteBook 840 G9"
"AP-PN95VUE","10.0.26100.7781","f1a86cd3-e62e-4f57-8b6d-9a810e9d1777","Yes","Not up to date","Precision 5570"
"W365-B2MC3V8","10.0.26100.7462","8fd5ee9f-049b-42e5-bfb7-a82cab0323eb","Yes","Up to date","Latitude 5440"
"AP-QD904R","10.0.26100.7781","be0e4710-49bb-40ae-af0e-48a52ede6cd5","Yes","Not up to date","HP EliteBook 840 G9"
"W365-32QJSWR4","10.0.22631.6649","a663014d-522a-45e6-8c31-90cc875682ef","Yes","Not up to date","Surface Pro 9"
"W365-B46JV","10.0.26100.7781","3ae22de0-380d-42eb-b135-e6b9e3516cf9","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"W365-43IAXNCE","10.0.26100.7634","89aa21cf-9730-4aaf-9e72-70109581e1f4","Yes","Up to date","Surface Pro 9"
"W365-DQ31S","10.0.26100.7781","880dd914-4a2d-4e3d-8a33-8bc9b7ace750","Yes","Not up to date","Precision 5570"
"W365-RBEZI","10.0.22621.5432","479ae2b2-0eb7-4f39-b343-c5c2f6e9fcda","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"W365-59XQ8MC","10.0.22631.6649","933d3cc3-66e9-4fe3-9d89-6157a13ce62c","Yes","Not up to date","Latitude 5440"
"AP-241G5Y","10.0.26100.7781","bd0a1c87-35b1-4438-93b5-d101bd38afdd","Yes","Not up to date","Latitude 5440"
"W365-H31KML5","10.0.26100.7634","caed2726-40a0-4d88-a030-65781c7c1355","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-EHGS43A0","10.0.26100.7634","17ae7f6a-dfe6-4d2d-aae1-406606bbcb39","Yes","Up to date","Surface Laptop 5"
"W365-3A7HBTNY","10.0.22621.5432","a0ded943-e58c-4a59-9022-d9a9f8e7e89b","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"W365-FWKTLBH","10.0.22631.6584","c07ae388-1e04-4b9f-8197-3356a9067ff0","Yes","Up to date","OptiPlex 7090"
"W365-YIVHXS7","10.0.22631.6649","3ab7b6f2-f31a-4d32-a416-dab63cae1b1e","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-R89ZDA","10.0.22631.6649","d11f97ab-2302-41cb-9908-f710ba9e6f8b","Yes","Not up to date","Surface Laptop 5"
"AP-5G9URH","10.0.26100.7462","5beb79cb-ab72-43aa-9344-d17ef876ebc0","Yes","Up to date","ThinkPad T14 Gen 3"
"W365-AOD1LNP","10.0.19045.4123","244e4f4f-838f-4563-bb76-55035cedfcad","No","Not applicable","Latitude 5440"
"AP-UP49Y","10.0.26100.7462","24f57d10-51f0-412a-8ffd-6a6cd6239190","Yes","Up to date","Latitude 5440"
"W365-SIE9AM","10.0.22621.5432","5d6cc4fa-c165-40d2-819a-4317f6f2e8c6","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"W365-ZPMQ03U","","b58ac655-52c9-4edf-a8b8-e9ae39602807","Unknown","Not applicable",""
"W365-JWUKD1P","10.0.26100.7781","1618a66d-0445-4739-a1ab-61cb43211300","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"W365-5I6B08DS","10.0.22621.5432","f8e510a6-dec6-434f-92bd-813a5e5b90f8","Yes","Up to date","ThinkPad T14 Gen 3"
"AP-IJX1G","10.0.22631.6584","0227c11c-efbe-4e41-94e0-712e2cdbab83","Yes","Up to date","Latitude 5340"
"W365-4QKHGM8L","10.0.26100.7781","a0579ea5-6b4f-4421-8af6-90a3401879b7","Yes","Not up to date","Latitude 5440"
"W365-JK574DCT","10.0.26100.7462","5d17427c-2e5f-4dec-be45-6d0e99218f6f","Yes","Not up to date","HP ProBook 450 G9"
"AP-FHJPMK","10.0.26100.7781","3592e5c0-2a84-4244-bee3-2fca5e789590","Yes","Not up to date","HP ProBook 450 G9"
"AP-S5QU1OAW","10.0.22631.6584","0f683ccb-99ba-4336-9a0f-2d7b41ca4192","Yes","Up to date","Precision 5570"
"W365-UG4XA5","10.0.22631.6649","53cc678a-d944-42ea-96e7-8b90212a5cff","Yes","Not up to date","Latitude 5440"
"AP-NJ7AI2SM","10.0.22621.5432","398d7764-c33b-4c43-8270-b79666ac7260","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"W365-8TVDOS","10.0.26100.7634","7fabf8d2-6301-4439-a1b7-f10a0bf7b8a7","Yes","Up to date","Latitude 5340"
"AP-A5I7HU","10.0.26100.7781","1936ffaf-39a6-436b-8d23-6042e24d9452","Yes","Not up to date","OptiPlex 7090"
"W365-ICD3JE","","cfbd76de-b33e-4ccc-a174-4127426eb9b9","Unknown","Not applicable",""
"AP-8JSKZYW","","a7e42f9b-64ee-4f3d-85fe-40971139cee4","Unknown","Not applicable",""
"W365-FDVY4","10.0.26100.7634","d5589b11-a3a3-45ba-9ccb-cd840d47bf12","Yes","Not up to date","Surface Laptop 5"
"AP-6FB0Q4","10.0.26100.7634","1bb515d0-43f8-4c48-b9c5-339cc4e7afed","Yes","Up to date","Surface Laptop 5"
"W365-YDKRCAPU","10.0.22631.6584","76ec8c9d-08a9-4758-8b53-3cd014d73807","Yes","Not up to date","Virtual Machine"
"W365-CXA1DOK","10.0.22621.5432","cc29c248-fcef-4ff9-b5cd-5d48e94b1311","Yes","Up to date","Surface Pro 9"
"W365-RVB1G","10.0.19045.4123","92bf4303-f3b3-4013-82d9-cbca798899a8","Yes","Not up to date","Latitude 5540"
"W365-9YEONZ","10.0.22631.6649","c5141d97-9ef4-49f8-970d-4af956a085d4","Yes","Not up to date","Surface Pro 9"
"W365-DP0VSK","10.0.19045.4123","3764c6db-2e38-440d-875e-b9a48ec396bc","Yes","Not up to date","OptiPlex 7090"
"AP-JBKG53A","10.0.26100.7462","57ab0c89-2586-4524-bdbb-2524b28d34a2","Yes","Not up to date","Surface Pro 9"
"W365-J6XQA","10.0.19045.4123","171b378f-2668-4647-9670-07d015bc7617","Yes","Not up to date","Virtual Machine"
"W365-8RUM9Y0G","10.0.22631.6584","cc972b7b-8b87-479f-a576-0d9fabef6731","Yes","Not up to date","Latitude 5440"
"AP-CIKYJS1","10.0.26100.7634","2fdb8eb0-7595-4a55-828f-769188c84673","Yes","Not up to date","Latitude 5340"
"W365-UB5RJD7","10.0.22631.6584","10725eaa-e482-448d-9f95-848d0ace083d","Yes","Not up to date","Precision 5570"
"W365-2JFG4","10.0.19045.4123","7314ec3b-ca4e-4363-b09c-7bd74c09abf6","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"AP-I4KHZ9F","10.0.22631.6649","8fcc7f8b-98e6-4b00-9663-b8053cd7a433","Yes","Not up to date","Latitude 5540"
"AP-U97XP2W","10.0.22631.6584","51ab8684-6f7f-430e-a9c1-e7bc2616a82e","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"W365-GHK6WS","10.0.19045.4123","629fc9f4-3291-42d7-b39d-a44f92663442","Yes","Not up to date","Virtual Machine"
"AP-VYI9G","10.0.26100.7781","b155c2f2-3267-4bca-a2b8-eea5bd6f3de1","Yes","Not up to date","HP EliteBook 840 G9"
"W365-30ZNF","10.0.22631.6649","7b2a845e-2ac1-47a0-8f26-19e86f12068a","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"W365-EPR7XGM0","10.0.26100.7634","45c27ecc-e378-4001-9413-fae5c892caa4","Yes","Not up to date","Surface Pro 9"
"W365-NMYJZES","10.0.19045.4123","ad6066c8-6a78-4d86-b20b-4b324f90e92b","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-8UL2O","10.0.22621.5432","cd337406-9e64-45d4-a099-518b167c80de","No","Not applicable","Surface Pro 9"
"W365-1STJLUMY","10.0.22631.6649","f71f356c-d7d3-4590-b337-4edb49da6c90","Yes","Not up to date","Surface Laptop 5"
"AP-DJ7CRP4","","525f11b5-b910-4280-a9eb-4452dcef96e7","Unknown","Not applicable",""
"AP-JF5S2B","10.0.22631.6584","75cbae23-9bff-4f33-9a54-02f8b1abe8a6","Yes","Not up to date","Latitude 5540"
"AP-H86XWU9C","10.0.26100.7634","9d51045a-5e57-4c60-92a4-57dc9f9b4e1f","Yes","Not up to date","Precision 5570"
"W365-7JE6D","10.0.22631.6584","de911495-f657-4980-9e5c-92312460cef6","Yes","Not up to date","Precision 5570"
"AP-FPKMRU","10.0.22631.6584","574542fd-50bf-46b7-a9e2-cd3416e613a6","Yes","Up to date","Latitude 5540"
"W365-C9PG0Q","10.0.22631.6649","40a9b9ef-acc7-466b-91d6-29a5bb964de7","Yes","Not up to date","Surface Pro 9"
"W365-91HZCS6M","10.0.22631.6584","9cbae707-e3e6-43be-afe5-999da55f1bba","Yes","Not up to date","Surface Pro 9"
"AP-QHDEN","10.0.22631.6584","d345b8a8-5224-4cb6-be23-523e36f950bb","Yes","Not up to date","Latitude 5440"
"AP-38BUE","10.0.22631.6584","c6ce8cf2-5b9e-4586-9262-c09e6324aa38","Yes","Up to date","Surface Pro 9"
"AP-INW69","10.0.22621.5432","d54e1aed-7c5f-487a-b170-388a888d892f","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-IYF2Q9","10.0.26100.7781","bc1ba7d5-de23-4211-9ffd-04b6b1725912","Yes","Not up to date","Virtual Machine"
"W365-ZWY5K1IF","","7cfc41ad-f88b-4403-b5f4-e74dcd8973bc","Unknown","Not applicable",""
"W365-7VS5JT0","10.0.26100.7462","7d338b50-0c2f-4d84-bb2d-92ef7ace6be5","Yes","Not up to date","HP EliteBook 840 G9"
"W365-69INJP","10.0.26100.7462","b3fa0ec2-2f02-4f52-b30b-d5a4e337e7d3","Yes","Up to date","Latitude 5440"
"W365-KCP4Z","10.0.26100.7462","249833d9-ca31-48c3-aaf0-5d5ad40980ff","Yes","Not up to date","Latitude 5340"
"AP-2D5ZQX","10.0.26100.7462","587bd3fd-d8e0-4906-8ad9-eb9814461eb0","Yes","Not up to date","HP ProBook 450 G9"
"AP-RXUTZ","10.0.19045.4123","a7e64435-4c8f-4189-975a-3f7e7fd04b3f","Yes","Not up to date","HP EliteBook 840 G9"
"W365-8P9R65K","10.0.22631.6649","d11c472b-ea5d-4384-94a2-5020a138e67c","Yes","Not up to date","Surface Laptop 5"
"W365-F9VDK","10.0.22621.5432","b6f8049e-99df-4ace-9055-e8aba979dd37","Yes","Up to date","Surface Pro 9"
"AP-OWQTX","10.0.22631.6584","8677cf1f-c6a0-4678-b90e-23af30473630","Yes","Up to date","Latitude 5340"
"W365-ICANTSM","10.0.19045.4123","c18e98ea-6f72-4dc0-833f-88519bee36e8","Yes","Not up to date","Precision 5570"
"W365-5HDF1P","10.0.19045.4123","f98f3038-ae07-48cb-88c6-7b3a825ad27c","Yes","Up to date","Surface Laptop 5"
"W365-YCH1FDLA","10.0.26100.7462","519b29ad-11a2-49f7-b9fa-5b088f526d73","Yes","Up to date","OptiPlex 7090"
"W365-4ZTBI9","10.0.22631.6584","9f77bdd6-55a7-4c14-a923-30dda5958d2f","Yes","Up to date","HP EliteBook 840 G9"
"AP-MYW7KO","10.0.19045.4123","9c971c8f-7a62-4d58-82d6-b2f04f86e1cc","Yes","Up to date","Precision 5570"
"AP-XHOWRLJ","10.0.26100.7781","03bc1153-a232-48fa-b4d1-ca57fcb8a5dc","Yes","Up to date","ThinkPad T14 Gen 3"
"AP-D1Y3N02","10.0.22631.6584","3764cc94-e37b-407a-b4e2-af679efacf9e","Yes","Not up to date","Precision 5570"
"AP-YK5OVP9","10.0.22621.5432","74a65ad2-b095-4b46-872a-17223c89001b","Yes","Not up to date","Latitude 5440"
"AP-5KTJC02I","10.0.19045.4123","dede09e1-f423-4f23-9d2d-06b38e691422","Yes","Up to date","Surface Pro 9"
"AP-3A82CZ","10.0.22631.6649","5566b5d5-1d31-4795-8754-9d7a364eaf0f","Yes","Not up to date","Precision 5570"
"AP-7NOIXFZ","10.0.26100.7634","729c5679-a416-4543-99e9-7da056a68db8","Yes","Not up to date","HP EliteBook 840 G9"
"W365-S8OUFHG","10.0.22631.6649","ca833a78-215b-4b99-8a00-e6aac1d6e590","Yes","Not up to date","HP ProBook 450 G9"
"W365-2FGH46","10.0.22621.5432","7f7a8637-3b63-4d26-8709-a252156e290a","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-GM9BC2JT","10.0.26100.7634","1cfe66ca-dfaa-4cc9-9607-451b662e8f35","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-73DMV","10.0.19045.4123","c0404851-4db3-4b57-926c-fc44b6f9686d","Yes","Not up to date","Virtual Machine"
"AP-LYI3Q","10.0.26100.7781","ceb34177-14e3-4631-ae7f-3912a3705431","Yes","Not up to date","Latitude 5340"
"AP-ZD4EI","10.0.26100.7634","0fb082fe-069f-4147-9f5c-c84339b208cd","Yes","Not up to date","HP ProBook 450 G9"
"AP-GWB9SM0","10.0.26100.7462","484ba3e9-6cc6-4719-b499-d2c2232b5155","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-57JU8PG","10.0.19045.4123","3d169f4e-312e-40f3-ae9b-2eae74191773","Yes","Not up to date","Latitude 5340"
"AP-AGBZCWUV","10.0.26100.7781","ec7e7d82-25cb-49d9-9cd3-41fe1d78142d","Yes","Not up to date","Latitude 5340"
"AP-DIAF8WC","10.0.19045.4123","45b81321-ead3-4cc2-a9bf-5a5f498b1dfc","Yes","Not up to date","Precision 5570"
"AP-3RHXD","10.0.22631.6649","69271af5-7498-4fa5-a95a-e4056c5ab973","Yes","Up to date","Virtual Machine"
"W365-3UJVHEFN","","efe341e2-3b6a-4cf5-b539-fb2666e847ab","Unknown","Not applicable",""
"W365-A1U8IJ92","10.0.26100.7462","4ebe86cb-bfa7-447e-8582-346504140802","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"W365-34CORS26","10.0.26100.7781","7f813f8f-454f-45f0-9167-c5bf6edec1d4","Yes","Up to date","HP EliteBook 840 G9"
"W365-BDYLKPH4","10.0.22631.6649","5f8f493a-3a90-4852-92de-8dca39f4bf0e","Yes","Not up to date","Latitude 5340"
"AP-SIEHJQV0","10.0.26100.7634","f475c886-991c-4ede-a10e-00011325bb97","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-J4K3L","10.0.22631.6649","16a1631b-0eb6-46de-a433-6cd531c1d7eb","Yes","Not up to date","Latitude 5340"
"AP-YHO2AT","","7e2d4437-9ae7-4411-b502-0f1e46c80676","Unknown","Not applicable",""
"AP-7Q5SIMOR","10.0.22631.6649","4e89d2fc-632a-4a7e-98d1-ed191614462b","Yes","Up to date","Surface Laptop 5"
"AP-4JT5C","10.0.22621.5432","005d1186-c121-48ee-a8d2-224727dc6027","Yes","Up to date","Latitude 5340"
"AP-R0H82","10.0.22631.6649","f9925ebe-dc3c-4522-9338-a298a86cbfa2","Yes","Not up to date","OptiPlex 7090"
"W365-4D8I5","10.0.22631.6649","3ed50f57-cb35-4374-91b4-9816c3e953b6","Yes","Not up to date","Latitude 5540"
"AP-PA6DIWV","10.0.22631.6584","a31a5702-ec6e-4512-886f-950350a6ef23","Yes","Not up to date","Latitude 5540"
"AP-HMT2D","10.0.26100.7462","822257af-f256-4624-9e51-f88f97d892b5","Yes","Up to date","Latitude 5340"
"AP-E1CVBXIH","10.0.19045.4123","f71d37be-07f4-4f96-bc90-2f4b79ab8478","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"AP-VLR38EZ","10.0.26100.7781","87eaba5f-f0cd-4ec8-83bd-084ff210b843","Yes","Up to date","Precision 5570"
"AP-A8WFER0","10.0.22631.6649","42d8bf77-08de-4856-a58a-394b10501b56","Yes","Up to date","OptiPlex 7090"
"AP-8WOD9N6C","10.0.22631.6584","88b1ddd1-4d43-4939-bba3-f594abf174fc","Yes","Not up to date","Surface Laptop 5"
"W365-YIZEPUQ","10.0.22621.5432","42aac963-316e-4ac5-9058-e6e02fb16923","Yes","Not up to date","Precision 5570"
"AP-TK217Q8","10.0.19045.4123","33e40ed8-5af6-4cb1-a52f-33627136201c","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"AP-KA0NCXQI","10.0.19045.4123","d573055e-6f48-4a47-97b7-3f740d54cc8f","No","Not applicable","Latitude 5440"
"W365-2A3O1L97","10.0.26100.7634","6fb9e0cd-6b62-41e7-8732-56d08734a249","Yes","Not up to date","OptiPlex 7090"
"AP-U7RD4NHQ","10.0.22631.6649","b784c412-42a9-47a8-8f31-bbadfb188c54","Yes","Up to date","HP EliteBook 840 G9"
"W365-U5NXZQ","10.0.22631.6649","646d6aa5-cffc-4b26-831f-bca174a82026","Yes","Up to date","HP EliteBook 840 G9"
"W365-9516A7Z","10.0.22631.6649","577a326f-2b06-4a5a-a546-40919ee565a4","Yes","Not up to date","Latitude 5440"
"W365-69EY48V","10.0.26100.7634","547f9293-2b86-49fe-ae0c-57d0ca40dd11","Yes","Not up to date","HP ProBook 450 G9"
"W365-0MJ86O7","10.0.26100.7462","dffdc91c-a899-422b-ab50-354b80099f42","Yes","Not up to date","Surface Pro 9"
"W365-9QBFE5YG","10.0.26100.7634","2fe399a8-173c-4455-93b5-3b9bacfa2d1e","Yes","Not up to date","Latitude 5340"
"W365-NF8ZR2","10.0.22631.6649","b493ebb1-5ab4-4b6c-9424-9b5c1dd7d7e8","Yes","Up to date","Surface Pro 9"
"AP-D9ILE","10.0.22621.5432","f845e4e2-cada-4ed2-a0da-f9e150609540","Yes","Up to date","Latitude 5540"
"W365-F3C8X","10.0.22621.5432","d907e386-cec7-4dd5-afb2-cc07af4ba06a","Yes","Not up to date","HP ProBook 450 G9"
"AP-97QCKL","10.0.22631.6584","0b3f4171-cf4f-40f4-8a09-7b0f1b7889af","Yes","Not up to date","Virtual Machine"
"W365-ZKRVPC4","10.0.22631.6649","7876d3f7-afb4-4e4a-ae14-89ae4bc1af6e","Yes","Not up to date","Latitude 5440"
"AP-8L97ID2O","10.0.22631.6649","e3434fd8-c3ef-4d3b-8b71-907bdf9bbf20","Yes","Not up to date","Surface Laptop 5"
"AP-YCGT6E59","10.0.22631.6584","9017fcc1-ddf2-46e8-84f6-0bee91507a87","Yes","Not up to date","HP EliteBook 840 G9"
"AP-KVXJ0BC8","10.0.26100.7634","ef3d9f22-49f8-4ac7-a012-5a69e399dc10","Yes","Not up to date","Latitude 5540"
"W365-IRZ1T","10.0.19045.4123","704b2323-f217-4087-9508-b6d6030d5fe6","Yes","Up to date","Latitude 5440"
"AP-IU5B8","10.0.22631.6584","7c70283a-44f2-4717-80ca-b147a9603686","No","Not applicable","OptiPlex 7090"
"W365-DJEHG","10.0.26100.7634","4e1e0c6b-993c-4e58-b013-38b0d8a9dc6e","Yes","Up to date","Latitude 5540"
"W365-QIBHD1S","10.0.26100.7634","3021670f-d12d-4a11-9bcb-05f9921e932f","Yes","Up to date","OptiPlex 7090"
"AP-2TZMICFK","10.0.19045.4123","ce77c619-1e62-43ee-9afb-d3147145785f","Yes","Not up to date","Latitude 5540"
"W365-2PC3VI","10.0.22621.5432","ab397918-9cf1-4b6c-9f32-8fd429c00516","Yes","Up to date","Latitude 5440"
"AP-Y4CMQV","10.0.22631.6584","4370198b-8be0-4740-85be-c2c6ef683976","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"AP-PYOLD","10.0.22631.6649","6b9ba6a7-6ffa-43b2-bf19-e4dd556a06e8","Yes","Up to date","ThinkPad T14 Gen 3"
"W365-8Y1KS","10.0.22621.5432","ad8dec2f-b3be-4d45-8a45-48ce0b1e0220","Yes","Up to date","Precision 5570"
"W365-TPOMGA35","10.0.26100.7462","96d23106-8403-4c85-8549-67b2c86b7b0e","Yes","Not up to date","OptiPlex 7090"
"AP-YZOI3X","10.0.22631.6584","45cfff09-de3e-4619-8195-c8a2682aab96","Yes","Up to date","Latitude 5540"
"W365-BVSQOM07","10.0.22631.6649","786a3d00-1aa9-4b75-b1f0-8d8db1ba7310","Yes","Not up to date","Surface Laptop 5"
"W365-NP9C3X4R","10.0.26100.7634","3dcecc65-7df1-4eea-9d0c-79d7bc4b429c","Yes","Up to date","Virtual Machine"
"AP-8IP6NT7","10.0.19045.4123","a0a08770-d46c-4ed1-810b-c4be9163a24e","Yes","Up to date","Latitude 5340"
"AP-U7YJFHOX","10.0.19045.4123","83e74c30-22fb-4bb8-80c4-a8efacf2fd47","Yes","Up to date","Latitude 5440"
"AP-VSK30G7","10.0.22631.6649","77053374-631e-4669-be63-5bd6ba6326ef","Yes","Not up to date","Latitude 5340"
"W365-ZE9Y45X","10.0.26100.7781","78fc1931-ec6b-49a0-861f-2c8392e05102","Yes","Up to date","Virtual Machine"
"AP-X3TPW","10.0.22621.5432","c45c7f25-a961-4fd2-927c-34fa4b7f3d54","Yes","Up to date","Virtual Machine"
"AP-NAQMZ7O","10.0.26100.7781","c578384d-937a-47d5-bec6-52f86cc61504","Yes","Up to date","Latitude 5340"
"AP-HJ89R","10.0.26100.7462","96d486c9-9355-4668-b2ce-78bcda58cb38","Yes","Up to date","Precision 5570"
"AP-4QGH9X2Z","10.0.22621.5432","1e382b60-b6fc-482d-a3c3-ea41a2051cdd","Yes","Up to date","HP ProBook 450 G9"
"W365-R1WQN6SA","10.0.26100.7634","62d7ae80-efec-4f5f-b324-169bc45720cb","Yes","Not up to date","Latitude 5440"
"AP-7XB3FK","10.0.22621.5432","82dbe976-e6c1-4adc-802e-96bce18c0094","Yes","Not up to date","Latitude 5340"
"W365-GDN9AXHT","10.0.22631.6584","8cda3749-4677-4374-97a2-9ea7f0983dfd","Yes","Not up to date","HP ProBook 450 G9"
"AP-QXFBH0O","10.0.22621.5432","45837a46-2970-4c89-8609-15a582001d65","Yes","Not up to date","HP ProBook 450 G9"
"W365-ADP9YE5","10.0.22631.6649","c1a50b74-3416-488e-97af-ce9191bc48d9","Yes","Not up to date","Surface Pro 9"
"AP-O7ZGW","10.0.22631.6649","c23585f4-b993-4a8c-9e42-0498c1075b6a","Yes","Up to date","HP EliteBook 840 G9"
"W365-DMY3H","10.0.22621.5432","a0848c1b-a56e-4862-a60c-fcaedb780b93","Yes","Not up to date","OptiPlex 7090"
"W365-HP541AML","10.0.26100.7634","175617d3-2e03-4d5a-a4a1-1ea42126348d","Yes","Up to date","ThinkPad T14 Gen 3"
